,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,6327680,0125-0131,
0,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",96,51124,0.795147302,12010244,78389,18337924,0201-0207,17826410
1,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",97,51551,0.008352242,12347894,129940,30685818,0208-0214,66230729
2,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",94,48041,-0.068087913,11519621,177981,42205439,0215-0221,82808342
3,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",89,21266,-0.557336442,5097984,199247,47303423,0222-0228,37856093
4,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",82,8953,-0.578999342,2179095,208200,49482518,0301-0307,24890889
5,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",49,2440,-0.727465654,587373,210640,50069891,0308-0314,10221300
6,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",23,779,-0.680737705,204160,211419,50274051,0315-0321,5654914
7,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",16,209,-0.731707317,48738,211628,50322789,0322-0328,2922083
8,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",1,3,-0.985645933,770,211631,50323559,0329-0404,1208601
9,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",7,544,1,45910,212175,50369469,0412-0418,100610393
10,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",8,780,0.433823529,65080,212955,50434549,0419-0425,97148285
11,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",9,579,-0.257692308,49320,213534,50483869,0426-0502,72551767
12,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",7,231,-0.601036269,17930,213765,50501799,0503-0509,39337124
13,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",1,252,1,51660,214017,50553459,1206-1212,66005448
