,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,4750704,0222-0228,
0,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,97,23000,0.066098081,5425078,43113,10175782,0301-0307,24890889
1,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,96,7667,-0.666652174,1815083,50780,11990865,0308-0314,10221300
2,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,70,2891,-0.622929438,691059,53671,12681924,0315-0321,5654914
3,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,54,870,-0.699066067,204783,54541,12886707,0322-0328,2922083
4,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,6,169,-0.805747126,40410,54710,12927117,0329-0404,1208601
5,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,43,-0.74556213,10277,54753,12937394,0405-0411,119969462
6,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,2,259,1,13805,55012,12951199,0419-0425,97148285
7,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,2,346,0.335907336,18310,55358,12969509,0426-0502,72551767
8,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,7,450,0.300578035,38815,55808,13008324,0503-0509,39337124
9,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,8,244,-0.457777778,23300,56052,13031624,0510-0516,10652302
10,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,2,10,-0.891304348,725,56062,13032349,0517-0520,122069
11,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,23,1,1265,56085,13033614,0712-0725,721016
12,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,6,-0.538461538,330,56091,13033944,0726-0801,234724
13,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,11,0.833333333,1210,56102,13035154,0802-0808,136779
14,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,12,0.090909091,1320,56114,13036474,0809-0815,108490
